First Name,Last Name,Title,Company,Email,Street,State/Province,ZIP/Postal Code,Lead Status
Corey,Stewart,Marketing Specialist,Baker LLC,brandy61@ramsey.com,2882 Gordon Square,Nebraska,31357,Converted
Nicholas,Vargas,Marketing Specialist,Blevins Ltd,wdudley@ward-lambert.net,18485 James Cliff,North Carolina,41218,New
Joseph,Davis,Sales Executive,"Simmons, Ross and Williams",sarahhall@gutierrez-casey.com,6577 Robert Lakes Apt. 830,Nebraska,38373,Converted
Teresa,Hamilton,CEO,Hernandez-Schwartz,grantabigail@yahoo.com,06891 Martin Street,North Carolina,26122,Contacted
William,Haney,Director,"Farmer, Lin and Wolf",grahamlisa@harrison.com,904 Smith Summit Suite 412,Vermont,85986,Unqualified
Donald,Kaiser,Director,Salinas-Johnston,dana63@nelson.org,320 Tanner Drive Suite 145,Illinois,62897,Unqualified
John,Hamilton,Marketing Specialist,Horn-Long,danielhall@lee-mcgee.org,662 Wright Throughway Apt. 938,Maryland,70362,Contacted
Amy,Watson,Director,Stone PLC,kelly91@yahoo.com,168 Velasquez Parks Apt. 374,Oklahoma,62272,Contacted
Michael,Wallace,Director,"Herman, Harris and Burnett",christinematthews@gmail.com,484 Leonard Fort Apt. 285,Michigan,51693,Contacted
Lisa,Adams,Marketing Specialist,Gill-Mckinney,sramsey@yahoo.com,3155 Joshua Port Apt. 350,Oklahoma,50702,Unqualified
Alicia,Chen,Founder,Hood Inc,brittneytucker@yahoo.com,0862 Robertson Springs,Maryland,6484,Unqualified
Jeffrey,Torres,Director,Miles-Thompson,susan31@wilson-jensen.com,931 Schwartz Streets Suite 376,Georgia,85087,Converted
Jacob,Rodriguez,CEO,Bautista-Miller,lopezlisa@wong-martinez.com,30925 Micheal Mews,Oregon,62058,Converted
Bobby,Bernard,CEO,Prince-Perry,sgray@gmail.com,6162 Barnes Cape Apt. 482,Arizona,62353,Contacted
Joshua,Randall,Manager,Norman PLC,michaelspencer@griffin.com,99716 Christopher Mill Apt. 581,Arkansas,80367,Converted
George,Arnold,Founder,Nelson-Cross,jaimefrazier@paul-armstrong.info,4178 Sandra Pass Suite 329,Alabama,47126,Qualified
Elizabeth,Blair,Marketing Specialist,Martin LLC,george96@gmail.com,6296 Robert Extension,Illinois,16433,Unqualified
Erik,Johnston,Director,"Gay, Smith and Dickson",cindymunoz@daugherty.com,627 Wilkins Causeway Suite 961,North Dakota,43104,Unqualified
Brian,Solomon,Director,"Castro, Schmidt and Anderson",dennis15@stewart.com,39038 Alexander Expressway,Washington,88966,Contacted
Elaine,Butler,CEO,"White, Wood and Mitchell",wyoder@gmail.com,853 Harvey Corners Apt. 650,Maine,85352,Unqualified
Tiffany,Webb,Sales Executive,Robertson PLC,omaynard@strickland-williams.com,8992 Peterson Isle Suite 413,North Carolina,34410,Unqualified
Krista,Walker,Director,Long-Bell,williamroach@hotmail.com,90516 Martin Square,Missouri,48002,Contacted
Bradley,Tran,Marketing Specialist,Chandler Ltd,linda95@yahoo.com,904 Brewer Court,Oregon,83607,Contacted
Angela,Martinez,Manager,Trujillo-Hendricks,vbrewer@yahoo.com,051 Mejia Brooks Apt. 261,Connecticut,9141,Qualified
Kyle,Cabrera,Sales Executive,Hickman-Moss,davidsmith@gmail.com,9295 Jimenez Harbor,New Hampshire,30236,Qualified
Alison,Baker,Director,Mack Inc,erica54@hubbard-johnson.com,772 Fernandez Port Apt. 788,Tennessee,80925,Unqualified
Angela,Beasley,Manager,Torres PLC,joshua42@hotmail.com,03674 Martin Ways,Montana,53064,New
Angela,Campbell,Director,Green-Smith,sthompson@wilson.org,76139 Johnson Cove Suite 608,Massachusetts,45047,New
Bryan,Elliott,Manager,Turner PLC,lori47@keith-goodwin.com,17086 Mary Loaf Suite 147,Vermont,19425,Qualified
Todd,Velasquez,Director,Brown-Malone,rmoody@yahoo.com,550 Gallegos Tunnel Apt. 434,Oklahoma,98077,Converted
Jonathan,Craig,Marketing Specialist,Hayes and Sons,kdavis@walker.com,099 Bethany Bridge,Arkansas,30100,Contacted
Melissa,Clark,Founder,Vega-Turner,tracyferguson@yahoo.com,0018 Regina Mission Apt. 922,Arkansas,61043,Qualified
Kristen,Taylor,Director,"Adams, Booth and Wright",rodriguezdiana@ramirez.info,304 Matthew Ridge Apt. 192,Hawaii,81359,New
Mark,Williams,Manager,"Allen, Lee and Miller",ozimmerman@reed-rogers.info,7619 Jason Dam Suite 737,Missouri,72103,Unqualified
Brian,Hunter,CEO,West LLC,penny78@yahoo.com,0975 Burton Point,Alabama,1532,Unqualified
